tree_id,match_count,species,matched_OBJECTIDs
0,1,Fraxinus excelsior,[18855]
2,1,Salix x sepulcralis 'Chrysocoma',[547]
3,1,Salix x sepulcralis 'Chrysocoma',[547]
4,1,Salix x sepulcralis 'Chrysocoma',[429]
6,1,Taxodium distichum,[424]
7,1,Fraxinus excelsior,[4707]
8,1,Fraxinus americana,[548]
9,1,Fraxinus americana,[548]
10,1,Taxodium distichum,[430]
12,1,Fraxinus excelsior 'Jaspidea',[106]
14,2,Tilia x europaea 'Euchlora',"[15226, 15227]"
15,1,Tilia x europaea 'Euchlora',[15228]
17,1,Tilia x europaea 'Euchlora',[15230]
18,1,Tilia x europaea 'Euchlora',[15229]
19,2,Fraxinus excelsior 'Jaspidea',"[10928, 14429]"
20,2,Cornus mas,"[10902, 11192]"
21,1,Tilia x europaea 'Euchlora',[15225]
23,1,Nader te bepalen,[23440]
