File Name,Radius,Vertical Res,Min Points,Num Points,tree_count
whm_01_0000.xyz,2500,200,5,11341,1
whm_01_0001.xyz,250,50,3,0,0
whm_01_0002.xyz,1000,50,3,3256,4
whm_01_0003.xyz,2500,10,5,0,0
whm_01_0004.xyz,4000,100,3,200010,21
whm_01_0005.xyz,2500,50,3,164066,16
whm_01_0006.xyz,1000,10,10,0,0
whm_01_0007.xyz,2000,200,10,0,0
whm_01_0008.xyz,1500,100,10,0,0
whm_01_0009.xyz,1500,50,5,0,0
whm_01_0010.xyz,1500,200,3,131399,15
whm_01_0011.xyz,250,10,10,0,0
whm_01_0012.xyz,2000,50,3,138447,14
whm_01_0013.xyz,2000,200,3,162744,20
whm_01_0014.xyz,1500,10,5,0,0
whm_01_0015.xyz,500,10,5,0,0
whm_01_0016.xyz,3500,100,3,195482,20
whm_01_0017.xyz,500,50,5,0,0
whm_01_0018.xyz,3500,10,3,48210,3
whm_01_0019.xyz,1000,100,3,13399,9
whm_01_0020.xyz,4000,50,3,193760,18
whm_01_0021.xyz,1000,200,10,0,0
whm_01_0022.xyz,1000,200,5,0,0
whm_01_0023.xyz,500,200,5,0,0
whm_01_0024.xyz,3000,50,3,184450,16
whm_01_0025.xyz,1000,200,3,16057,10
whm_01_0026.xyz,3000,100,3,187798,19
whm_01_0027.xyz,2000,10,5,0,0
whm_01_0028.xyz,500,200,10,0,0
whm_01_0029.xyz,5000,100,10,0,0
whm_01_0030.xyz,4500,10,3,60941,4
whm_01_0031.xyz,4500,200,3,205539,26
whm_01_0032.xyz,5000,50,5,65304,2
whm_01_0033.xyz,500,200,3,1424,2
whm_01_0034.xyz,1000,50,5,0,0
whm_01_0035.xyz,4500,50,3,198611,19
whm_01_0036.xyz,5000,10,10,0,0
whm_01_0037.xyz,500,50,10,0,0
whm_01_0038.xyz,2000,100,5,0,0
whm_01_0039.xyz,4000,10,3,53667,3
whm_01_0040.xyz,250,100,5,0,0
whm_01_0041.xyz,2500,10,3,13567,2
whm_01_0042.xyz,500,100,5,0,0
whm_01_0043.xyz,250,200,10,0,0
whm_01_0044.xyz,5000,200,3,208904,25
whm_01_0045.xyz,3500,50,3,190169,16
whm_01_0046.xyz,4000,200,3,201693,23
whm_01_0047.xyz,1000,10,3,0,0
whm_01_0048.xyz,1500,200,5,0,0
whm_01_0049.xyz,3500,200,3,196073,21
whm_01_0050.xyz,2000,50,10,0,0
whm_01_0051.xyz,250,100,3,0,0
whm_01_0052.xyz,500,10,10,0,0
whm_01_0053.xyz,500,100,10,0,0
whm_01_0054.xyz,5000,50,3,200334,19
whm_01_0055.xyz,500,10,3,0,0
whm_01_0056.xyz,2000,10,10,0,0
whm_01_0057.xyz,2500,50,5,11271,1
whm_01_0058.xyz,1500,10,3,8044,1
whm_01_0059.xyz,250,50,10,0,0
whm_01_0060.xyz,250,10,5,0,0
whm_01_0061.xyz,500,100,3,1091,2
whm_01_0062.xyz,250,10,3,0,0
whm_01_0063.xyz,3000,10,3,40868,2
whm_01_0064.xyz,250,50,5,0,0
whm_01_0065.xyz,250,200,3,0,0
whm_01_0066.xyz,5000,10,3,68431,3
whm_01_0067.xyz,1500,10,10,0,0
whm_01_0068.xyz,5000,200,5,88355,4
whm_01_0069.xyz,2500,200,10,0,0
whm_01_0070.xyz,5000,100,5,71024,3
whm_01_0071.xyz,1000,100,10,0,0
whm_01_0072.xyz,2500,100,10,0,0
whm_01_0073.xyz,3000,200,3,189657,20
whm_01_0074.xyz,2500,200,3,171643,22
whm_01_0075.xyz,1500,50,10,0,0
whm_01_0076.xyz,250,100,10,0,0
whm_01_0077.xyz,2000,100,10,0,0
whm_01_0078.xyz,2000,100,3,149461,19
whm_01_0079.xyz,5000,100,3,206172,22
whm_01_0080.xyz,1500,200,10,0,0
whm_01_0081.xyz,1500,50,3,67539,12
whm_01_0082.xyz,5000,200,10,0,0
whm_01_0083.xyz,1500,100,3,102673,14
whm_01_0084.xyz,1000,50,10,0,0
whm_01_0085.xyz,2000,200,5,0,0
whm_01_0086.xyz,2500,50,10,0,0
whm_01_0087.xyz,2500,100,3,168749,20
whm_01_0088.xyz,250,200,5,0,0
whm_01_0089.xyz,2000,50,5,0,0
whm_01_0090.xyz,1000,100,5,0,0
whm_01_0091.xyz,1000,10,5,0,0
whm_01_0092.xyz,5000,10,5,0,0
whm_01_0093.xyz,1500,100,5,0,0
whm_01_0094.xyz,2500,100,5,11199,1
whm_01_0095.xyz,2000,10,3,11068,2
whm_01_0096.xyz,2500,10,10,0,0
whm_01_0097.xyz,500,50,3,116,1
whm_01_0098.xyz,4500,100,3,204098,22
whm_01_0099.xyz,5000,50,10,0,0
